"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dbh_1","dbh_2","dbh","height","expan","basal_area"
"486832","IFN2","25_1190_IFN2","25_1190_17_IFN2",21,146,140,14.3,9,31.8309886183791,160.606070433144
"486833","IFN2","25_1190_IFN2","25_1190_18_IFN2",21,218,215,21.65,9,31.8309886183791,368.13379064306
"486834","IFN2","25_1190_IFN2","25_1190_19_IFN2",21,219,216,21.75,10,31.8309886183791,371.542418672205
"486835","IFN2","25_1190_IFN2","25_1190_20_IFN2",21,175,170,17.25,8.5,31.8309886183791,233.705040995953
"486836","IFN2","25_1190_IFN2","25_1190_21_IFN2",21,177,174,17.55,9.5,31.8309886183791,241.904597821823
"486837","IFN2","25_1190_IFN2","25_1190_22_IFN2",21,134,130,13.2,9,31.8309886183791,136.847775990371
"486838","IFN2","25_1190_IFN2","25_1190_23_IFN2",21,196,190,19.3,10.5,31.8309886183791,292.552961883916
"486839","IFN2","25_1190_IFN2","25_1190_24_IFN2",21,203,198,20.05,10.5,31.8309886183791,315.732025181183
"486840","IFN2","25_1190_IFN2","25_1190_25_IFN2",21,191,189,19,10.5,31.8309886183791,283.528736986479
"486841","IFN2","25_1190_IFN2","25_1190_26_IFN2",21,127,124,12.55,9.5,31.8309886183791,123.702174230507
"486842","IFN2","25_1190_IFN2","25_1190_27_IFN2",21,189,190,18.95,9,31.8309886183791,282.038443971432
"486843","IFN2","25_1190_IFN2","25_1190_28_IFN2",21,177,176,17.65,9,31.8309886183791,244.669199356982
"486844","IFN2","25_1190_IFN2","25_1190_29_IFN2",21,257,261,25.9,11,14.1471060526129,526.852941988642
"486845","IFN2","25_1190_IFN2","25_1190_30_IFN2",21,233,223,22.8,10,14.1471060526129,408.28138126053
"486846","IFN2","25_1190_IFN2","25_1190_31_IFN2",21,224,228,22.6,10,14.1471060526129,401.149965936881
"486847","IFN2","25_1190_IFN2","25_1190_32_IFN2",21,178,174,17.6,9.5,31.8309886183791,243.284935093994
"486848","IFN2","25_1190_IFN2","25_1190_33_IFN2",21,217,216,21.65,9,31.8309886183791,368.13379064306
"486849","IFN2","25_1190_IFN2","25_1190_34_IFN2",21,156,155,15.55,10,31.8309886183791,189.911239404911
"486850","IFN2","25_1190_IFN2","25_1190_35_IFN2",21,227,240,23.35,11,14.1471060526129,428.216750142965
"486851","IFN2","25_1190_IFN2","25_1190_36_IFN2",21,207,201,20.4,10.5,31.8309886183791,326.851299679482
