"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"482757",25,976,17,133," 8.4",21,153,142,6.5,2,3,"1","IFN2","25_976","25_976_17","IFN2_25_976_17",14.75,31.8309886183791,170.873187924157
"482758",25,976,18,140," 9.8",21,140,141,7,2,3,"","IFN2","25_976","25_976_18","IFN2_25_976_18",14.05,31.8309886183791,155.039560950065
"482759",25,976,19,145," 3.3",21,112,111,6,2,3,"","IFN2","25_976","25_976_19","IFN2_25_976_19",11.15,127.323954473516,97.6426631689793
"482760",25,976,20,146," 2.9",21,90,90,6.5,2,3,"","IFN2","25_976","25_976_20","IFN2_25_976_20",9,127.323954473516,63.6172512351933
"482761",25,976,21,153," 4.6",21,88,93,6.5,2,3,"","IFN2","25_976","25_976_21","IFN2_25_976_21",9.05,127.323954473516,64.3260730776595
"482762",25,976,22,154," 6.2",21,174,169,7,2,2,"1","IFN2","25_976","25_976_22","IFN2_25_976_22",17.15,31.8309886183791,231.003271313866
"482763",25,976,23,185," 9.8",21,134,143,7,2,2,"","IFN2","25_976","25_976_23","IFN2_25_976_23",13.85,31.8309886183791,150.657039198307
"482764",25,976,24,187," 8.5",21,122,136,7,2,2,"","IFN2","25_976","25_976_24","IFN2_25_976_24",12.9,31.8309886183791,130.698108370969
"482765",25,976,25,205," 4.4",21,128,129,7,2,2,"","IFN2","25_976","25_976_25","IFN2_25_976_25",12.85,31.8309886183791,129.686908235595
"482766",25,976,26,212," 4.5",21,89,84,5,3,3,"","IFN2","25_976","25_976_26","IFN2_25_976_26",8.65,127.323954473516,58.7654540808056
"482767",25,976,27,220," 3.3",21,117,124,7.5,2,3,"1","IFN2","25_976","25_976_27","IFN2_25_976_27",12.05,127.323954473516,114.041776820718
"482768",25,976,28,243," 2.6",21,160,167,8,2,2,"","IFN2","25_976","25_976_28","IFN2_25_976_28",16.35,31.8309886183791,209.954600534814
"482769",25,976,29,244," 8.7",21,145,149,8,2,2,"","IFN2","25_976","25_976_29","IFN2_25_976_29",14.7,31.8309886183791,169.716689128555
"482770",25,976,30,277," 7.9",21,149,143,7,2,2,"1","IFN2","25_976","25_976_30","IFN2_25_976_30",14.6,31.8309886183791,167.4154725098
"482771",25,976,31,290," 8.2",21,128,127,6.5,2,2,"","IFN2","25_976","25_976_31","IFN2_25_976_31",12.75,31.8309886183791,127.676288937298
"482772",25,976,32,302," 2.7",21,127,124,7.5,2,2,"","IFN2","25_976","25_976_32","IFN2_25_976_32",12.55,31.8309886183791,123.702174230507
"482773",25,976,33,305," 9.8",21,155,155,7,2,2,"","IFN2","25_976","25_976_33","IFN2_25_976_33",15.5,31.8309886183791,188.691908756237
"482774",25,976,34,322," 3.6",21,182,171,8,2,2,"1","IFN2","25_976","25_976_34","IFN2_25_976_34",17.65,31.8309886183791,244.669199356982
"482775",25,976,35,331," 4.3",21,103,104,7.5,2,3,"","IFN2","25_976","25_976_35","IFN2_25_976_35",10.35,127.323954473516,84.1338147585431
"482776",25,976,36,343," 5.6",21,126,125,8,2,2,"","IFN2","25_976","25_976_36","IFN2_25_976_36",12.55,31.8309886183791,123.702174230507
"482777",25,976,37,347," 6.8",21,182,180,8,2,2,"","IFN2","25_976","25_976_37","IFN2_25_976_37",18.1,31.8309886183791,257.304292310638
"482778",25,976,38,354," 9.4",21,137,135,7.5,2,2,"","IFN2","25_976","25_976_38","IFN2_25_976_38",13.6,31.8309886183791,145.267244301992
"482779",25,976,39,375," 9.9",21,138,134,6.5,2,2,"","IFN2","25_976","25_976_39","IFN2_25_976_39",13.6,31.8309886183791,145.267244301992
"482780",25,976,40,376," 8.2",21,165,161,7,2,2,"","IFN2","25_976","25_976_40","IFN2_25_976_40",16.3,31.8309886183791,208.672438033068
"482781",25,976,41,381," 6.9",21,124,131,6.5,2,2,"","IFN2","25_976","25_976_41","IFN2_25_976_41",12.75,31.8309886183791,127.676288937298
"482782",25,976,42,385," 5.1",21,127,124,7,2,2,"","IFN2","25_976","25_976_42","IFN2_25_976_42",12.55,31.8309886183791,123.702174230507
"482783",25,976,43,391," 3.5",21,108,113,6.5,2,3,"","IFN2","25_976","25_976_43","IFN2_25_976_43",11.05,127.323954473516,95.899079246237
"482784",25,977,1,11," 9.3",21,164,157,5,2,3,"","IFN2","25_977","25_977_1","IFN2_25_977_1",16.05,31.8309886183791,202.320530386591
"482785",25,977,2,45," 6.6",21,166,159,6,2,3,"","IFN2","25_977","25_977_2","IFN2_25_977_2",16.25,31.8309886183791,207.394202522139
"482786",25,977,3,61," 5.9",21,151,145,5,2,3,"","IFN2","25_977","25_977_3","IFN2_25_977_3",14.8,31.8309886183791,172.033613710577
"482787",25,977,4,92," 6.0",21,142,141,5.5,2,3,"","IFN2","25_977","25_977_4","IFN2_25_977_4",14.15,31.8309886183791,157.254383770846
"482788",25,977,5,168," 0.7",21,156,148,5.5,2,3,"","IFN2","25_977","25_977_5","IFN2_25_977_5",15.2,31.8309886183791,181.458391671346
"482789",25,977,6,259," 5.0",21,117,113,4.5,2,3,"","IFN2","25_977","25_977_6","IFN2_25_977_6",11.5,127.323954473516,103.868907109313
"482887",25,982,1,3," 4.8",21,136,135,8.5,2,2,"","IFN2","25_982","25_982_1","IFN2_25_982_1",13.55,31.8309886183791,144.20106629518
"482888",25,982,2,8," 1.1",21,118,116,8,2,2,"","IFN2","25_982","25_982_2","IFN2_25_982_2",11.7,127.323954473516,107.513154587477
"482889",25,982,3,8," 1.7",21,90,92,9,2,3,"","IFN2","25_982","25_982_3","IFN2_25_982_3",9.1,127.323954473516,65.0388219109427
"482890",25,982,4,15," 0.7",21,96,94,9,2,3,"","IFN2","25_982","25_982_4","IFN2_25_982_4",9.5,127.323954473516,70.8821842466197
"482891",25,982,5,32," 4.3",21,148,151,8.5,2,2,"","IFN2","25_982","25_982_5","IFN2_25_982_5",14.95,31.8309886183791,175.538453014738
"482892",25,982,6,35," 1.5",21,87,93,7,2,3,"","IFN2","25_982","25_982_6","IFN2_25_982_6",9,127.323954473516,63.6172512351933
"482893",25,982,7,35," 3.1",21,123,121,8.5,2,2,"","IFN2","25_982","25_982_7","IFN2_25_982_7",12.2,127.323954473516,116.898662640076
"482894",25,982,8,35," 3.7",21,124,126,8.5,2,2,"","IFN2","25_982","25_982_8","IFN2_25_982_8",12.5,31.8309886183791,122.718463030851
"482895",25,982,9,36," 7.4",21,180,172,9,2,2,"","IFN2","25_982","25_982_9","IFN2_25_982_9",17.6,31.8309886183791,243.284935093994
"482896",25,982,10,41," 7.1",21,185,187,9,2,2,"","IFN2","25_982","25_982_10","IFN2_25_982_10",18.6,31.8309886183791,271.716348608981
"482897",25,982,11,61," 7.3",21,133,128,7,6,2,"","IFN2","25_982","25_982_11","IFN2_25_982_11",13.05,31.8309886183791,133.755270721994
"482898",25,982,12,64," 7.4",21,124,129,8,2,2,"","IFN2","25_982","25_982_12","IFN2_25_982_12",12.65,31.8309886183791,125.681377602268
"482899",25,982,13,75," 4.6",21,121,126,8.5,2,2,"","IFN2","25_982","25_982_13","IFN2_25_982_13",12.35,127.323954473516,119.790891376787
"482900",25,982,14,75," 5.0",21,228,222,8.5,2,2,"","IFN2","25_982","25_982_14","IFN2_25_982_14",22.5,14.1471060526129,397.607820219958
"482901",25,982,15,78," 8.9",21,133,134,8,2,2,"","IFN2","25_982","25_982_15","IFN2_25_982_15",13.35,31.8309886183791,139.975624176102
"482902",25,982,16,80," 8.8",21,167,170,9,2,2,"","IFN2","25_982","25_982_16","IFN2_25_982_16",16.85,31.8309886183791,222.992210047212
"482903",25,982,17,94," 6.8",21,154,152,8.5,2,2,"","IFN2","25_982","25_982_17","IFN2_25_982_17",15.3,31.8309886183791,183.853856069709
"482904",25,982,18,142," 4.7",21,167,170,8.5,2,2,"","IFN2","25_982","25_982_18","IFN2_25_982_18",16.85,31.8309886183791,222.992210047212
"482905",25,982,19,145," 1.5",21,216,220,9.5,2,2,"","IFN2","25_982","25_982_19","IFN2_25_982_19",21.8,31.8309886183791,373.252623173003
"482906",25,982,20,171," 5.2",21,152,173,9,2,2,"","IFN2","25_982","25_982_20","IFN2_25_982_20",16.25,31.8309886183791,207.394202522139
"482907",25,982,21,180," 6.0",21,172,165,9,2,2,"","IFN2","25_982","25_982_21","IFN2_25_982_21",16.85,31.8309886183791,222.992210047212
"482908",25,982,22,182," 5.5",21,122,129,9,2,2,"","IFN2","25_982","25_982_22","IFN2_25_982_22",12.55,31.8309886183791,123.702174230507
"482909",25,982,23,195," 9.6",21,171,176,8,2,2,"","IFN2","25_982","25_982_23","IFN2_25_982_23",17.35,31.8309886183791,236.422518641308
"482910",25,982,24,202," 7.8",21,153,154,9,2,2,"","IFN2","25_982","25_982_24","IFN2_25_982_24",15.35,31.8309886183791,185.057478755115
"482911",25,982,25,212," 8.5",21,165,158,9,2,2,"1","IFN2","25_982","25_982_25","IFN2_25_982_25",16.15,31.8309886183791,204.849512472731
"482912",25,982,26,213," 3.3",21,138,141,8.5,2,2,"","IFN2","25_982","25_982_26","IFN2_25_982_26",13.95,31.8309886183791,152.840446092552
"482913",25,982,27,220," 3.0",21,210,195,10,2,2,"","IFN2","25_982","25_982_27","IFN2_25_982_27",20.25,31.8309886183791,322.062334378166
"482914",25,982,28,224," 8.7",21,177,166,10,2,2,"","IFN2","25_982","25_982_28","IFN2_25_982_28",17.15,31.8309886183791,231.003271313866
"482915",25,982,29,229," 2.7",21,135,127,10,2,2,"","IFN2","25_982","25_982_29","IFN2_25_982_29",13.1,31.8309886183791,134.782178820636
"482916",25,982,30,229," 7.1",21,157,162,9.5,2,2,"","IFN2","25_982","25_982_30","IFN2_25_982_30",15.95,31.8309886183791,199.807256263719
