,Provincia,Estadillo,Clase,Subclase,TREE_ID_IFN3_2,TREE_ID_IFN3,TREE_ID_IFN2,rumbo,distancia,DRed,specie,dbh_1,dbh_2,height,quality,shape,special_param,Agente,Import,Elemento,Compara,INVENTORY_ID,PLOT_ID,TREE_ID,IFN_TREE_ID,IFN3_ID,dbh,expan,basal_area
719994,25,977,A,1,13,13,0,325,7.6,NA,21,172,174,8,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_13,IFN3_25_977_0,25_977_A_1,17.3,31.8309886183791,235.061816323222
719995,25,977,A,1,14,14,0,327,7.2,NA,21,195,196,8,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_14,IFN3_25_977_0,25_977_A_1,19.55,31.8309886183791,300.181141545913
719996,25,977,A,1,15,15,0,335,8.6,NA,26,126,129,7.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_15,IFN3_25_977_0,25_977_A_1,12.75,31.8309886183791,127.676288937298
719997,25,977,A,1,16,16,0,372,5.2,NA,21,153,158,8.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_16,IFN3_25_977_0,25_977_A_1,15.55,31.8309886183791,189.911239404911
726850,25,1277,A,4,1,1,0,75,4.7,NA,45,80,85,3.5,2,5,429,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_1,IFN3_25_1277_0,25_1277_A_4,8.25,127.323954473516,53.4561624962388
726851,25,1277,A,4,2,2,0,80,4.2,NA,45,102,83,3.5,2,5,429,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_2,IFN3_25_1277_0,25_1277_A_4,9.25,127.323954473516,67.2006303556942
726852,25,1277,A,4,3,3,0,81,5.2,NA,45,93,111,3.5,2,5,49,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_3,IFN3_25_1277_0,25_1277_A_4,10.2,127.323954473516,81.7128249198705
726853,25,1277,A,4,4,4,0,90,4.1,NA,45,101,108,3.5,2,5,49,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_4,IFN3_25_1277_0,25_1277_A_4,10.45,127.323954473516,85.7674429384098
726854,25,1277,A,4,5,5,0,92,6.8,NA,21,125,125,5,2,3,NA,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_5,IFN3_25_1277_0,25_1277_A_4,12.5,31.8309886183791,122.718463030851
726855,25,1277,A,4,6,6,0,164,8.7,NA,21,162,156,6.5,2,3,NA,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_6,IFN3_25_1277_0,25_1277_A_4,15.9,31.8309886183791,198.556509688509
726856,25,1277,A,4,7,7,0,210,9.2,NA,21,141,139,6.5,2,3,NA,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_7,IFN3_25_1277_0,25_1277_A_4,14,31.8309886183791,153.9380400259
726857,25,1277,A,4,8,8,0,297,5,NA,21,108,116,4.5,2,3,NA,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_8,IFN3_25_1277_0,25_1277_A_4,11.2,127.323954473516,98.5203456165759
726858,25,1277,A,4,9,9,0,382,4.6,NA,21,174,177,6.5,2,2,NA,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_9,IFN3_25_1277_0,25_1277_A_4,17.55,31.8309886183791,241.904597821823
726859,25,1277,A,4,10,10,0,396,2.6,NA,21,77,77,3,2,3,NA,100,NA,,E,IFN3,25_1277,IFN3_25_1277_A_4_10,IFN3_25_1277_0,25_1277_A_4,7.7,127.323954473516,46.5662571078347
729825,25,1456,A,4,1,1,0,1,9.1,NA,22,151,151,14,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_1,IFN3_25_1456_0,25_1456_A_4,15.1,31.8309886183791,179.078635236252
729826,25,1456,A,4,2,2,0,8,6.6,NA,22,250,194,12.2,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_2,IFN3_25_1456_0,25_1456_A_4,22.2,31.8309886183791,387.075630848798
729827,25,1456,A,4,3,3,0,12,10.6,NA,22,255,239,11.5,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_3,IFN3_25_1456_0,25_1456_A_4,24.7,14.1471060526129,479.163565507149
729828,25,1456,A,4,4,4,0,38,9.5,NA,22,143,139,12.1,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_4,IFN3_25_1456_0,25_1456_A_4,14.1,31.8309886183791,156.145008865047
729829,25,1456,A,4,5,5,0,44,1.1,NA,22,140,138,6.5,2,3,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_5,IFN3_25_1456_0,25_1456_A_4,13.9,31.8309886183791,151.746779150021
729830,25,1456,A,4,6,6,0,49,9.2,NA,22,234,234,12.9,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_6,IFN3_25_1456_0,25_1456_A_4,23.4,14.1471060526129,430.052618349907
729831,25,1456,A,4,7,7,0,56,7.6,NA,22,184,198,11.5,2,2,42,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_7,IFN3_25_1456_0,25_1456_A_4,19.1,31.8309886183791,286.521103989023
729832,25,1456,A,4,8,8,0,60,7.6,NA,22,176,178,11.5,2,2,42,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_8,IFN3_25_1456_0,25_1456_A_4,17.7,31.8309886183791,246.057390610787
729833,25,1456,A,4,9,9,0,64,5,NA,22,158,159,11.9,2,2,41,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_9,IFN3_25_1456_0,25_1456_A_4,15.85,31.8309886183791,197.309690104115
729834,25,1456,A,4,10,10,0,68,9.8,NA,22,144,143,10.9,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_10,IFN3_25_1456_0,25_1456_A_4,14.35,31.8309886183791,161.731153302211
729835,25,1456,A,4,11,11,0,84,9.9,NA,22,240,254,14.5,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_11,IFN3_25_1456_0,25_1456_A_4,24.7,14.1471060526129,479.163565507149
729836,25,1456,A,4,12,12,0,86,10.4,NA,22,254,256,14.8,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_12,IFN3_25_1456_0,25_1456_A_4,25.5,14.1471060526129,510.705155749191
729837,25,1456,A,4,13,13,0,89,7,NA,22,254,252,14.5,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_13,IFN3_25_1456_0,25_1456_A_4,25.3,14.1471060526129,502.725510409073
729838,25,1456,A,4,14,14,0,91,2.9,NA,22,75,82,7.7,2,3,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_14,IFN3_25_1456_0,25_1456_A_4,7.85,127.323954473516,48.3981983239592
729839,25,1456,A,4,15,15,0,94,14.5,NA,22,236,233,12.2,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_15,IFN3_25_1456_0,25_1456_A_4,23.45,14.1471060526129,431.892413547665
729840,25,1456,A,4,16,16,0,126,16.1,NA,22,254,265,13.5,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_16,IFN3_25_1456_0,25_1456_A_4,25.95,14.1471060526129,528.88908672725
729841,25,1456,A,4,17,17,0,127,9.8,NA,22,262,261,14.3,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_17,IFN3_25_1456_0,25_1456_A_4,26.15,14.1471060526129,537.072935589851
729842,25,1456,A,4,18,18,0,127,7.1,NA,22,144,139,10.4,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_18,IFN3_25_1456_0,25_1456_A_4,14.15,31.8309886183791,157.254383770846
729843,25,1456,A,4,19,19,0,128,9.8,NA,22,282,265,13.3,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_19,IFN3_25_1456_0,25_1456_A_4,27.35,14.1471060526129,587.495497679968
729844,25,1456,A,4,20,20,0,130,15.3,NA,22,244,239,12.8,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_20,IFN3_25_1456_0,25_1456_A_4,24.15,14.1471060526129,458.061880352068
729845,25,1456,A,4,21,21,0,139,9.9,NA,22,163,153,11.8,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_21,IFN3_25_1456_0,25_1456_A_4,15.8,31.8309886183791,196.066797510539
729846,25,1456,A,4,22,22,0,162,11.7,NA,22,163,171,10.9,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_22,IFN3_25_1456_0,25_1456_A_4,16.7,31.8309886183791,219.039693789914
729847,25,1456,A,4,23,23,0,177,5.5,NA,21,394,370,15.7,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_23,IFN3_25_1456_0,25_1456_A_4,38.2,14.1471060526129,1146.08441595609
729848,25,1456,A,4,24,24,0,205,3.9,NA,22,91,84,7.4,2,3,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_24,IFN3_25_1456_0,25_1456_A_4,8.75,127.323954473516,60.1320468851171
729849,25,1456,A,4,25,25,0,215,11.9,NA,22,189,190,12.4,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_25,IFN3_25_1456_0,25_1456_A_4,18.95,31.8309886183791,282.038443971432
729850,25,1456,A,4,26,26,0,219,7.3,NA,22,179,172,12.3,2,2,NA,100,NA,,E,IFN3,25_1456,IFN3_25_1456_A_4_26,IFN3_25_1456_0,25_1456_A_4,17.55,31.8309886183791,241.904597821823
