"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"719954",25,976,"A","1",27,26,0,156,9.1,NA,21,152,145,10.7,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_27","IFN3_25_976_0","25_976_A_1",14.85,31.8309886183791,173.197966487814
"719955",25,976,"A","1",28,27,23,179,9.8,NA,21,193,192,12.3,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_28","IFN3_25_976_23","25_976_A_1",19.25,31.8309886183791,291.039106923967
"719956",25,976,"A","1",29,28,0,179,9,NA,21,160,167,11.2,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_29","IFN3_25_976_0","25_976_A_1",16.35,31.8309886183791,209.954600534814
"719957",25,976,"A","1",30,29,24,182,8.4,NA,21,145,157,10.3,3,2,NA,316,1,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_30","IFN3_25_976_24","25_976_A_1",15.1,31.8309886183791,179.078635236252
"719958",25,976,"A","1",31,30,0,196,5.5,NA,21,164,164,10,3,2,NA,316,1,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_31","IFN3_25_976_0","25_976_A_1",16.4,31.8309886183791,211.240690027378
"719959",25,976,"A","1",32,31,25,201,4.4,NA,21,175,182,11.9,3,2,NA,316,1,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_32","IFN3_25_976_25","25_976_A_1",17.85,31.8309886183791,250.245526317103
"719960",25,976,"A","1",33,32,26,207,4.6,NA,21,79,85,5.2,5,3,NA,316,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_33","IFN3_25_976_26","25_976_A_1",8.2,127.323954473516,52.8101725068444
"719961",25,976,"A","1",34,33,27,215,3.3,NA,21,153,170,11.8,3,2,NA,316,1,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_34","IFN3_25_976_27","25_976_A_1",16.15,31.8309886183791,204.849512472731
"719962",25,976,"A","1",35,34,0,221,9.8,NA,21,147,147,11.3,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_35","IFN3_25_976_0","25_976_A_1",14.7,31.8309886183791,169.716689128555
"719963",25,976,"A","1",36,35,29,238,8.7,NA,21,189,197,12.3,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_36","IFN3_25_976_29","25_976_A_1",19.3,31.8309886183791,292.552961883916
"719964",25,976,"A","1",37,36,28,238,2.6,NA,21,211,230,11.8,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_37","IFN3_25_976_28","25_976_A_1",22.05,31.8309886183791,381.862550539248
"719965",25,976,"A","1",38,37,0,248,8.2,NA,21,142,148,9.7,3,2,NA,316,2,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_38","IFN3_25_976_0","25_976_A_1",14.5,31.8309886183791,165.129963854314
"719966",25,976,"A","1",39,888,30,271,7.7,NA,21,178,188,0,6,NA,NA,311,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_39","IFN3_25_976_30","25_976_A_1",18.3,31.8309886183791,263.021990940171
"719967",25,976,"A","1",40,888,31,283,8.1,NA,21,128,127,0,6,NA,NA,311,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_40","IFN3_25_976_31","25_976_A_1",12.75,31.8309886183791,127.676288937298
"719968",25,976,"A","1",41,38,0,291,9,NA,21,137,124,11,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_41","IFN3_25_976_0","25_976_A_1",13.05,31.8309886183791,133.755270721994
"719969",25,976,"A","1",42,39,32,296,2.7,NA,21,176,165,11.5,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_42","IFN3_25_976_32","25_976_A_1",17.05,31.8309886183791,228.317209595047
"719970",25,976,"A","1",43,40,33,299,9.7,NA,21,199,186,10,5,2,NA,311,3,"2","X","IFN3","25_976_A_1","IFN3_25_976_A_1_43","IFN3_25_976_33","25_976_A_1",19.25,31.8309886183791,291.039106923967
"719971",25,976,"A","1",44,41,34,318,3.5,NA,21,231,212,11.3,2,2,41,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_44","IFN3_25_976_34","25_976_A_1",22.15,31.8309886183791,385.334010421465
"719972",25,976,"A","1",45,888,35,329,4.3,NA,21,103,104,0,6,NA,NA,316,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_45","IFN3_25_976_35","25_976_A_1",10.35,127.323954473516,84.1338147585431
"719973",25,976,"A","1",46,42,36,336,5.5,NA,21,167,174,11.6,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_46","IFN3_25_976_36","25_976_A_1",17.05,31.8309886183791,228.317209595047
"719974",25,976,"A","1",47,43,37,340,6.7,NA,21,253,244,12.7,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_47","IFN3_25_976_37","25_976_A_1",24.85,14.1471060526129,485.001037356601
"719975",25,976,"A","1",48,44,38,347,9.2,NA,21,169,178,11.9,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_48","IFN3_25_976_38","25_976_A_1",17.35,31.8309886183791,236.422518641308
"719976",25,976,"A","1",49,45,39,370,9.8,NA,21,175,169,11,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_49","IFN3_25_976_39","25_976_A_1",17.2,31.8309886183791,232.352192659501
"719977",25,976,"A","1",50,46,40,371,8.1,NA,21,209,197,12,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_50","IFN3_25_976_40","25_976_A_1",20.3,31.8309886183791,323.654729154455
"719978",25,976,"A","1",51,47,41,374,6.8,NA,21,168,171,11.3,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_51","IFN3_25_976_41","25_976_A_1",16.95,31.8309886183791,225.646855839495
"719979",25,976,"A","1",52,48,42,378,5,NA,21,160,161,11.4,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_52","IFN3_25_976_42","25_976_A_1",16.05,31.8309886183791,202.320530386591
"719980",25,976,"A","1",53,49,43,384,3.5,NA,21,130,132,11.2,3,2,NA,316,1,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_53","IFN3_25_976_43","25_976_A_1",13.1,31.8309886183791,134.782178820636
"719981",25,976,"A","1",54,888,1,397,9.8,NA,21,149,146,0,6,NA,NA,311,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_54","IFN3_25_976_1","25_976_A_1",14.75,31.8309886183791,170.873187924157
