"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"4858","IFN3","15_1006_IFN3",30,31,26,7.24285277777778,179.951188989236,18.2130503144654,9.67767295597484,22.6377118637833,9.67767295597484
"4859","IFN3","15_1008_IFN3",10,41,26,0.966944444444444,14.1471060526129,29.5,18,29.5,18
"4867","IFN3","15_1016_IFN3",10,5,26,3.32419375,190.985931710274,14.775,14.25,14.8866690924017,14.625
"4876","IFN3","15_1022_IFN3",5,5,26,10.8601673611111,176.838825657661,26.573,16.08,27.963047938306,17.25
"4881","IFN3","15_1026_IFN3",6,31,26,9.339725,700.281749604339,12.6590909090909,10.1136363636364,13.0312386908606,13.125
"4883","IFN3","15_1027_IFN3",12,31,26,3.12864236111111,60.1252007236049,23.5911764705882,8.47058823529412,25.7397752401175,8.47058823529412
"4890","IFN3","15_1036_IFN3",40,31,26,33.6808690555556,297.51364028645,35.462482168331,15.9091773656681,37.9658618272931,18.475
"4901","IFN3","15_1047_IFN3",20,31,26,46.7825978888889,561.498639228207,32.1197278911565,16.2973041068279,32.5703835424422,17.0483870967742
"4903","IFN3","15_1048_IFN3",6,31,26,6.86045625,891.267681314614,9.64107142857143,9.51785714285714,9.89982413263705,10.625
"4904","IFN3","15_1049_IFN3",20,21,26,22.2200950277778,364.570922975835,24.7489522700815,16.1753977493209,27.8571704430151,24.0478723404255
"4909","IFN3","15_1053_IFN3",20,31,26,42.0319496944444,1149.02795359322,19.421121644915,11.4979684806698,21.5813958126635,17.6476683937824
"4916","IFN3","15_1056_IFN3",15,24,26,26.67450375,643.268912212309,21.4260721354739,20.7879920826919,22.9777210037188,25.580310880829
"4919","IFN3","15_1058_IFN3",20,21,26,22.3213784722222,622.04825313339,19.7837730270639,15.4766886513532,21.3748722377337,18.880829015544
"4922","IFN3","15_1061_IFN3",30,31,26,34.2838780277778,666.470166138595,24.8380704733602,15.643812354065,25.5923209339739,17.0489130434783
"4927","IFN3","15_1064_IFN3",14,21,26,20.0308909722222,700.281749604339,17.7840909090909,17.3333333333333,19.0839727959554,24.5
"4932","IFN3","15_1070_IFN3",40,17,26,16.0488820277778,306.426317099596,22.4303554939981,12.2349953831948,25.8234593690656,20.2877094972067
"4938","IFN3","15_1075_IFN3",5,21,26,1.99230625,190.985931710274,10.7416666666667,11.0833333333333,11.5247740397227,11.0833333333333
"4944","IFN3","15_1077_IFN3",5,21,26,13.11475625,1764.85148006346,9.44458917835671,11.5581162324649,9.72704867634083,14.1774193548387
"4954","IFN3","15_1086_IFN3",7,17,26,2.1001,254.647908947033,9.95,4.5,10.2471947380734,5
"4977","IFN3","15_11_IFN3",35,22,26,44.0882481111111,456.102699136241,34.5282258064516,17.833746898263,35.0820658321614,19.1243093922652
"5024","IFN3","15_1132_IFN3",6,1,26,6.82831875,572.957795130823,11.9472222222222,12.1111111111111,12.3182960131126,16.25
"5026","IFN3","15_1134_IFN3",1,26,26,0.42575625,31.8309886183791,13.05,10.5,13.05,10.5
