"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"45185","IFN3","32_1340_IFN3",34,39,26,40.5611284722222,1542.03455973481,17.0452981651376,11.0642201834862,18.3005027316016,14.1875
"45202","IFN3","32_1366_IFN3",36,28,26,26.86629375,870.047022235694,19.4876016260163,9.02642276422764,19.8283956585056,10.3125
"45203","IFN3","32_1367_IFN3",39,50,26,26.1646965555556,348.160279954804,30.2418935392117,15.1854937017473,30.9330895655296,15.875
"45235","IFN3","32_1438_IFN3",31,39,26,46.2753965277778,1708.26305585301,18.0528985507246,14.472049689441,18.5717470310329,16.875
"45236","IFN3","32_1439_IFN3",7,39,26,1.32633611111111,14.1471060526129,34.55,13.5,34.55,13.5
"45258","IFN3","32_1461_IFN3",24,39,26,19.7314236111111,1510.20357111643,12.6370023419204,9.19672131147541,12.8978262787428,10.5483870967742
"45263","IFN3","32_1473_IFN3",10,39,26,2.28935,381.971863420549,8.73333333333333,5.33333333333333,8.73565490771394,5
"45272","IFN3","32_1485_IFN3",40,39,26,20.8518045833333,305.294548615387,28.6267608897127,16.5384615384615,29.4894965082408,17.7118644067797
"45273","IFN3","32_1486_IFN3",35,39,26,13.2474291666667,311.236333157484,22.8068181818182,15.2386363636364,23.2796109093539,16.0625
"45277","IFN3","32_1499_IFN3",9,39,26,11.95626875,1432.39448782706,10.13,7.02222222222222,10.3091194795891,8.625
"45278","IFN3","32_1500_IFN3",10,39,26,1.78269444444444,28.2942121052258,28.1,15.5,28.3233560864527,15.5
"45286","IFN3","32_1510_IFN3",8,39,26,0.725904,5.09295817894065,42.6,17,42.6,17
